"Time","CPU 0 - Processed","CPU 1 - Processed","CPU 10 - Processed","CPU 11 - Processed","CPU 2 - Processed","CPU 3 - Processed","CPU 4 - Processed","CPU 5 - Processed","CPU 6 - Processed","CPU 7 - Processed","CPU 8 - Processed","CPU 9 - Processed","CPU 0 - Dropped","CPU 1 - Dropped","CPU 10 - Dropped","CPU 11 - Dropped","CPU 2 - Dropped","CPU 3 - Dropped","CPU 4 - Dropped","CPU 5 - Dropped","CPU 6 - Dropped","CPU 7 - Dropped","CPU 8 - Dropped","CPU 9 - Dropped"
2026-06-04 15:41:00,52.9 p/s,42.4 p/s,60.8 p/s,34.9 p/s,54.3 p/s,36.7 p/s,63.7 p/s,37.6 p/s,52.1 p/s,43.5 p/s,47.7 p/s,38.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:41:30,77.4 p/s,54.6 p/s,81.6 p/s,51.6 p/s,74.0 p/s,49.9 p/s,84.4 p/s,49.7 p/s,76.0 p/s,55.3 p/s,69.5 p/s,54.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:42:00,96.2 p/s,67.2 p/s,101 p/s,68.2 p/s,92.1 p/s,62.4 p/s,99.3 p/s,63.2 p/s,98.7 p/s,72.7 p/s,88.4 p/s,70.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:42:30,89.2 p/s,61.8 p/s,90.2 p/s,68.7 p/s,81.5 p/s,54.3 p/s,86.3 p/s,59.5 p/s,94.0 p/s,67.2 p/s,83.9 p/s,62.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:43:00,86.5 p/s,58.9 p/s,88.6 p/s,63.7 p/s,77.7 p/s,53.6 p/s,81.6 p/s,64.6 p/s,87.8 p/s,69.7 p/s,80.4 p/s,60.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:43:30,85.9 p/s,60.3 p/s,84.4 p/s,59.4 p/s,77.5 p/s,52.3 p/s,77.8 p/s,64.9 p/s,82.5 p/s,65.1 p/s,80.1 p/s,57.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:44:00,90.2 p/s,61.4 p/s,86.5 p/s,57.9 p/s,83.6 p/s,59.1 p/s,76.6 p/s,66.5 p/s,81.1 p/s,64.8 p/s,82.8 p/s,63.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:44:30,87.8 p/s,62.8 p/s,85.0 p/s,61.6 p/s,83.6 p/s,60.2 p/s,75.9 p/s,64.6 p/s,84.2 p/s,61.4 p/s,85.2 p/s,65.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:45:00,86.7 p/s,63.0 p/s,89.6 p/s,63.4 p/s,81.9 p/s,60.5 p/s,79.0 p/s,61.1 p/s,87.7 p/s,63.1 p/s,86.5 p/s,66.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:45:30,82.8 p/s,57.6 p/s,93.0 p/s,66.8 p/s,78.8 p/s,61.2 p/s,78.1 p/s,59.0 p/s,85.4 p/s,60.8 p/s,83.7 p/s,67.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:46:00,86.0 p/s,63.1 p/s,93.6 p/s,65.7 p/s,82.7 p/s,58.9 p/s,75.4 p/s,59.6 p/s,85.4 p/s,59.8 p/s,82.7 p/s,64.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:46:30,86.6 p/s,65.2 p/s,94.1 p/s,64.0 p/s,84.7 p/s,59.8 p/s,77.7 p/s,67.4 p/s,83.2 p/s,56.4 p/s,85.2 p/s,58.0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
