"Time","bridge - Rx in","docker0 - Rx in","eth0 - Rx in","lo - Rx in","veth0898283a - Rx in","veth1a1311ea - Rx in","veth1ab2ce35 - Rx in","veth23b72f28 - Rx in","veth3d1fc018 - Rx in","veth4d5ad56b - Rx in","veth5dc2fb4d - Rx in","veth5f9eb48f - Rx in","veth63a0bdbf - Rx in","veth67ba92c8 - Rx in","veth76e0bcb5 - Rx in","veth8189d14e - Rx in","veth8262aa09 - Rx in","veth8de63f6a - Rx in","veth8e9d483c - Rx in","veth98242867 - Rx in","veth9bfda059 - Rx in","veth9cfe6466 - Rx in","veth9de844db - Rx in","vetha5d56989 - Rx in","vethd22aedbd - Rx in","vethde56b93d - Rx in","vethe9298b11 - Rx in","vethee72330e - Rx in","vethf347c1b6 - Rx in","vethf59accf3 - Rx in"
2026-06-04 15:41:00,382 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:41:30,334 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:42:00,456 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:42:30,333 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:43:00,289 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:43:30,122 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:44:00,133 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:44:30,189 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:45:00,267 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
2026-06-04 15:45:30,156 mp/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s
