"Time","bridge - Rx in","docker0 - Rx in","eth0 - Rx in","lo - Rx in","veth0898283a - Rx in","veth1a1311ea - Rx in","veth1ab2ce35 - Rx in","veth23b72f28 - Rx in","veth3d1fc018 - Rx in","veth4d5ad56b - Rx in","veth5dc2fb4d - Rx in","veth5f9eb48f - Rx in","veth63a0bdbf - Rx in","veth67ba92c8 - Rx in","veth76e0bcb5 - Rx in","veth8189d14e - Rx in","veth8262aa09 - Rx in","veth8de63f6a - Rx in","veth8e9d483c - Rx in","veth98242867 - Rx in","veth9bfda059 - Rx in","veth9cfe6466 - Rx in","veth9de844db - Rx in","vetha5d56989 - Rx in","vethd22aedbd - Rx in","vethde56b93d - Rx in","vethe9298b11 - Rx in","vethee72330e - Rx in","vethf347c1b6 - Rx in","vethf59accf3 - Rx in","bridge - Tx out","docker0 - Tx out","eth0 - Tx out","lo - Tx out","veth0898283a - Tx out","veth1a1311ea - Tx out","veth1ab2ce35 - Tx out","veth23b72f28 - Tx out","veth3d1fc018 - Tx out","veth4d5ad56b - Tx out","veth5dc2fb4d - Tx out","veth5f9eb48f - Tx out","veth63a0bdbf - Tx out","veth67ba92c8 - Tx out","veth76e0bcb5 - Tx out","veth8189d14e - Tx out","veth8262aa09 - Tx out","veth8de63f6a - Tx out","veth8e9d483c - Tx out","veth98242867 - Tx out","veth9bfda059 - Tx out","veth9cfe6466 - Tx out","veth9de844db - Tx out","vetha5d56989 - Tx out","vethd22aedbd - Tx out","vethde56b93d - Tx out","vethe9298b11 - Tx out","vethee72330e - Tx out","vethf347c1b6 - Tx out","vethf59accf3 - Tx out"
2026-06-04 15:41:00,43.8 p/s,0 p/s,6.05 p/s,151 p/s,2.34 p/s,35.4 p/s,1.01 p/s,1.66 p/s,15.3 p/s,2.06 p/s,1.06 p/s,468 mp/s,2.03 p/s,6.75 p/s,3.28 p/s,989 mp/s,399 mp/s,4.20 p/s,1.21 p/s,7.89 p/s,3.90 p/s,3.85 p/s,6.09 p/s,1.99 p/s,1.09 p/s,11.3 p/s,2.24 p/s,1.83 p/s,13.9 p/s,5.12 p/s,49.3 p/s,0 p/s,6.82 p/s,151 p/s,3.43 p/s,32.8 p/s,2.43 p/s,4.06 p/s,13.5 p/s,3.19 p/s,1.82 p/s,937 mp/s,3.56 p/s,8.65 p/s,3.43 p/s,1.53 p/s,902 mp/s,6.36 p/s,1.37 p/s,7.94 p/s,4.27 p/s,4.75 p/s,6.73 p/s,2.64 p/s,1.44 p/s,13.8 p/s,4.58 p/s,4.04 p/s,18.1 p/s,7.21 p/s
2026-06-04 15:41:30,54.4 p/s,0 p/s,7.79 p/s,206 p/s,4.07 p/s,59.5 p/s,1.07 p/s,1.55 p/s,12.4 p/s,3.12 p/s,1.64 p/s,591 mp/s,3.15 p/s,10.9 p/s,3.86 p/s,1.46 p/s,578 mp/s,3.11 p/s,2.00 p/s,11.4 p/s,5.07 p/s,5.84 p/s,6.05 p/s,4.93 p/s,1.81 p/s,16.6 p/s,3.21 p/s,2.79 p/s,26.6 p/s,8.30 p/s,60.7 p/s,0 p/s,8.09 p/s,206 p/s,5.76 p/s,53.5 p/s,2.17 p/s,3.39 p/s,11.0 p/s,4.60 p/s,2.59 p/s,1.01 p/s,4.48 p/s,14.4 p/s,3.81 p/s,1.96 p/s,989 mp/s,4.76 p/s,1.98 p/s,11.2 p/s,5.32 p/s,6.42 p/s,6.68 p/s,5.06 p/s,2.07 p/s,19.4 p/s,6.36 p/s,5.70 p/s,31.5 p/s,11.0 p/s
2026-06-04 15:42:00,65.6 p/s,0 p/s,7.17 p/s,258 p/s,5.38 p/s,83.5 p/s,1.17 p/s,1.61 p/s,14.5 p/s,4.04 p/s,2.10 p/s,733 mp/s,3.19 p/s,14.7 p/s,4.67 p/s,1.89 p/s,733 mp/s,4.00 p/s,2.62 p/s,14.5 p/s,6.71 p/s,7.89 p/s,5.99 p/s,6.46 p/s,2.16 p/s,22.3 p/s,4.31 p/s,3.75 p/s,38.8 p/s,11.3 p/s,72.5 p/s,0 p/s,7.40 p/s,258 p/s,7.53 p/s,74.5 p/s,2.30 p/s,3.37 p/s,12.7 p/s,5.94 p/s,3.32 p/s,1.28 p/s,4.60 p/s,19.2 p/s,4.58 p/s,2.56 p/s,1.27 p/s,6.17 p/s,2.61 p/s,14.3 p/s,6.86 p/s,8.40 p/s,6.66 p/s,6.59 p/s,2.53 p/s,25.4 p/s,8.23 p/s,7.39 p/s,44.3 p/s,14.4 p/s
2026-06-04 15:42:30,55.0 p/s,0 p/s,3.66 p/s,236 p/s,5.74 p/s,92.6 p/s,756 mp/s,800 mp/s,5.57 p/s,4.12 p/s,2.17 p/s,644 mp/s,2.00 p/s,15.3 p/s,3.86 p/s,1.87 p/s,722 mp/s,1.32 p/s,2.79 p/s,14.2 p/s,6.20 p/s,8.17 p/s,3.36 p/s,7.51 p/s,2.28 p/s,22.9 p/s,4.21 p/s,3.80 p/s,45.7 p/s,12.2 p/s,60.2 p/s,0 p/s,3.38 p/s,236 p/s,7.92 p/s,81.0 p/s,1.12 p/s,1.17 p/s,5.00 p/s,5.88 p/s,3.22 p/s,1.02 p/s,2.54 p/s,20.0 p/s,3.57 p/s,2.38 p/s,1.06 p/s,2.21 p/s,2.64 p/s,13.9 p/s,6.08 p/s,7.78 p/s,3.81 p/s,7.23 p/s,2.58 p/s,24.1 p/s,7.96 p/s,7.12 p/s,48.7 p/s,14.6 p/s
2026-06-04 15:43:00,54.0 p/s,0 p/s,1.11 p/s,236 p/s,5.40 p/s,90.0 p/s,689 mp/s,733 mp/s,8.52 p/s,3.96 p/s,2.02 p/s,656 mp/s,1.03 p/s,14.5 p/s,3.82 p/s,1.84 p/s,711 mp/s,2.64 p/s,2.76 p/s,14.0 p/s,6.69 p/s,7.97 p/s,2.68 p/s,5.22 p/s,2.02 p/s,22.7 p/s,4.16 p/s,3.61 p/s,43.8 p/s,11.5 p/s,59.1 p/s,0 p/s,1.06 p/s,236 p/s,7.47 p/s,79.1 p/s,1.02 p/s,1.06 p/s,7.18 p/s,5.50 p/s,2.93 p/s,1.01 p/s,1.42 p/s,19.1 p/s,3.50 p/s,2.34 p/s,1.03 p/s,4.07 p/s,2.56 p/s,13.9 p/s,6.49 p/s,7.57 p/s,3.01 p/s,5.43 p/s,2.28 p/s,23.6 p/s,7.68 p/s,6.81 p/s,46.5 p/s,13.8 p/s
2026-06-04 15:43:30,53.3 p/s,0 p/s,3.11 p/s,231 p/s,5.04 p/s,87.5 p/s,656 mp/s,678 mp/s,5.60 p/s,3.86 p/s,2.02 p/s,644 mp/s,744 mp/s,14.1 p/s,3.71 p/s,1.86 p/s,722 mp/s,1.33 p/s,2.81 p/s,14.1 p/s,6.42 p/s,7.70 p/s,3.24 p/s,4.29 p/s,2.44 p/s,22.5 p/s,4.17 p/s,3.46 p/s,42.0 p/s,11.1 p/s,59.0 p/s,0 p/s,3.72 p/s,231 p/s,6.94 p/s,76.6 p/s,822 mp/s,845 mp/s,4.82 p/s,5.14 p/s,2.71 p/s,822 mp/s,956 mp/s,18.5 p/s,3.28 p/s,2.18 p/s,867 mp/s,2.02 p/s,2.42 p/s,14.0 p/s,6.14 p/s,7.01 p/s,3.52 p/s,4.60 p/s,2.58 p/s,22.9 p/s,7.68 p/s,6.43 p/s,44.6 p/s,13.2 p/s
2026-06-04 15:44:00,55.4 p/s,0 p/s,4.61 p/s,240 p/s,4.91 p/s,88.6 p/s,633 mp/s,633 mp/s,5.28 p/s,3.74 p/s,1.99 p/s,667 mp/s,2.46 p/s,13.7 p/s,3.96 p/s,1.88 p/s,733 mp/s,1.32 p/s,2.79 p/s,14.4 p/s,6.81 p/s,7.70 p/s,4.30 p/s,3.59 p/s,2.21 p/s,23.9 p/s,4.14 p/s,3.42 p/s,41.6 p/s,10.9 p/s,61.6 p/s,0 p/s,5.22 p/s,240 p/s,6.76 p/s,77.6 p/s,800 mp/s,800 mp/s,4.61 p/s,5.06 p/s,2.66 p/s,845 mp/s,2.63 p/s,18.1 p/s,3.52 p/s,2.17 p/s,889 mp/s,2.03 p/s,2.41 p/s,14.4 p/s,6.56 p/s,7.28 p/s,4.96 p/s,4.11 p/s,2.32 p/s,24.2 p/s,7.64 p/s,6.40 p/s,44.1 p/s,13.0 p/s
2026-06-04 15:44:30,57.4 p/s,0 p/s,6.50 p/s,234 p/s,4.62 p/s,89.2 p/s,633 mp/s,622 mp/s,2.27 p/s,3.84 p/s,2.04 p/s,656 mp/s,3.21 p/s,13.2 p/s,4.34 p/s,1.90 p/s,756 mp/s,0 p/s,2.82 p/s,15.0 p/s,6.36 p/s,7.66 p/s,7.36 p/s,4.03 p/s,2.43 p/s,26.1 p/s,4.36 p/s,3.37 p/s,40.2 p/s,10.8 p/s,63.8 p/s,0 p/s,6.83 p/s,234 p/s,6.32 p/s,78.3 p/s,856 mp/s,822 mp/s,2.41 p/s,5.26 p/s,2.78 p/s,867 mp/s,3.36 p/s,17.6 p/s,3.92 p/s,2.24 p/s,933 mp/s,189 mp/s,2.50 p/s,15.6 p/s,6.06 p/s,7.33 p/s,8.07 p/s,4.52 p/s,2.62 p/s,26.3 p/s,8.07 p/s,6.38 p/s,42.9 p/s,13.1 p/s
2026-06-04 15:45:00,58.9 p/s,0 p/s,5.77 p/s,243 p/s,4.71 p/s,87.8 p/s,633 mp/s,644 mp/s,1.97 p/s,3.98 p/s,2.09 p/s,667 mp/s,4.24 p/s,12.7 p/s,4.50 p/s,1.90 p/s,789 mp/s,11.1 mp/s,2.81 p/s,15.2 p/s,6.68 p/s,7.57 p/s,8.17 p/s,5.04 p/s,2.02 p/s,26.9 p/s,4.23 p/s,3.40 p/s,38.9 p/s,10.7 p/s,64.8 p/s,0 p/s,5.46 p/s,243 p/s,6.50 p/s,77.3 p/s,933 mp/s,933 mp/s,2.22 p/s,5.49 p/s,2.91 p/s,956 mp/s,4.30 p/s,17.0 p/s,4.10 p/s,2.30 p/s,1.01 p/s,267 mp/s,2.56 p/s,15.7 p/s,6.39 p/s,7.37 p/s,9.06 p/s,5.43 p/s,2.23 p/s,27.2 p/s,7.84 p/s,6.40 p/s,41.7 p/s,13.0 p/s
2026-06-04 15:45:30,57.4 p/s,0 p/s,4.00 p/s,238 p/s,4.81 p/s,88.2 p/s,667 mp/s,667 mp/s,2.43 p/s,4.16 p/s,2.13 p/s,644 mp/s,2.61 p/s,12.8 p/s,4.39 p/s,1.89 p/s,767 mp/s,11.1 mp/s,2.83 p/s,15.2 p/s,6.43 p/s,7.62 p/s,7.33 p/s,6.34 p/s,2.32 p/s,27.3 p/s,4.27 p/s,3.42 p/s,39.4 p/s,11.0 p/s,62.8 p/s,0 p/s,3.73 p/s,238 p/s,6.61 p/s,77.6 p/s,845 mp/s,845 mp/s,2.46 p/s,5.42 p/s,2.86 p/s,833 mp/s,2.60 p/s,17.3 p/s,3.89 p/s,2.20 p/s,922 mp/s,156 mp/s,2.43 p/s,15.5 p/s,5.90 p/s,7.10 p/s,7.79 p/s,6.63 p/s,2.43 p/s,27.5 p/s,7.81 p/s,6.39 p/s,42.2 p/s,13.1 p/s
