"Time","CPU 0","CPU 1","CPU 10","CPU 11","CPU 2","CPU 3","CPU 4","CPU 5","CPU 6","CPU 7","CPU 8","CPU 9"
2026-06-04 15:41:00,482 ops/s,335 ops/s,475 ops/s,322 ops/s,483 ops/s,308 ops/s,472 ops/s,320 ops/s,441 ops/s,340 ops/s,489 ops/s,327 ops/s
2026-06-04 15:41:30,659 ops/s,440 ops/s,655 ops/s,431 ops/s,653 ops/s,424 ops/s,635 ops/s,439 ops/s,623 ops/s,445 ops/s,666 ops/s,461 ops/s
2026-06-04 15:42:00,836 ops/s,560 ops/s,822 ops/s,533 ops/s,830 ops/s,558 ops/s,823 ops/s,547 ops/s,815 ops/s,575 ops/s,849 ops/s,554 ops/s
2026-06-04 15:42:30,769 ops/s,500 ops/s,752 ops/s,472 ops/s,753 ops/s,522 ops/s,763 ops/s,511 ops/s,771 ops/s,514 ops/s,775 ops/s,521 ops/s
2026-06-04 15:43:00,760 ops/s,504 ops/s,750 ops/s,497 ops/s,744 ops/s,510 ops/s,747 ops/s,510 ops/s,768 ops/s,510 ops/s,759 ops/s,498 ops/s
2026-06-04 15:43:30,739 ops/s,484 ops/s,751 ops/s,502 ops/s,739 ops/s,472 ops/s,713 ops/s,509 ops/s,724 ops/s,458 ops/s,715 ops/s,487 ops/s
2026-06-04 15:44:00,747 ops/s,483 ops/s,786 ops/s,525 ops/s,748 ops/s,469 ops/s,739 ops/s,531 ops/s,738 ops/s,477 ops/s,748 ops/s,479 ops/s
2026-06-04 15:44:30,736 ops/s,479 ops/s,770 ops/s,509 ops/s,748 ops/s,484 ops/s,737 ops/s,520 ops/s,731 ops/s,487 ops/s,747 ops/s,487 ops/s
2026-06-04 15:45:00,756 ops/s,488 ops/s,779 ops/s,509 ops/s,738 ops/s,520 ops/s,754 ops/s,525 ops/s,750 ops/s,524 ops/s,778 ops/s,517 ops/s
2026-06-04 15:45:30,752 ops/s,499 ops/s,749 ops/s,500 ops/s,758 ops/s,509 ops/s,745 ops/s,498 ops/s,744 ops/s,506 ops/s,742 ops/s,495 ops/s
2026-06-04 15:46:00,775 ops/s,500 ops/s,756 ops/s,498 ops/s,765 ops/s,512 ops/s,768 ops/s,497 ops/s,758 ops/s,514 ops/s,745 ops/s,499 ops/s
2026-06-04 15:46:30,768 ops/s,477 ops/s,728 ops/s,494 ops/s,751 ops/s,487 ops/s,735 ops/s,483 ops/s,747 ops/s,507 ops/s,727 ops/s,506 ops/s
2026-06-04 15:47:00,766 ops/s,473 ops/s,728 ops/s,514 ops/s,730 ops/s,520 ops/s,725 ops/s,490 ops/s,749 ops/s,510 ops/s,743 ops/s,516 ops/s
2026-06-04 15:47:30,744 ops/s,466 ops/s,734 ops/s,522 ops/s,727 ops/s,501 ops/s,723 ops/s,506 ops/s,724 ops/s,493 ops/s,736 ops/s,507 ops/s
2026-06-04 15:48:00,720 ops/s,495 ops/s,745 ops/s,529 ops/s,735 ops/s,488 ops/s,736 ops/s,505 ops/s,728 ops/s,479 ops/s,740 ops/s,478 ops/s
2026-06-04 15:48:30,710 ops/s,494 ops/s,721 ops/s,488 ops/s,745 ops/s,455 ops/s,710 ops/s,498 ops/s,714 ops/s,464 ops/s,740 ops/s,489 ops/s
2026-06-04 15:49:00,721 ops/s,495 ops/s,718 ops/s,468 ops/s,737 ops/s,461 ops/s,700 ops/s,488 ops/s,713 ops/s,474 ops/s,746 ops/s,496 ops/s
2026-06-04 15:49:30,722 ops/s,485 ops/s,700 ops/s,452 ops/s,728 ops/s,468 ops/s,696 ops/s,487 ops/s,715 ops/s,479 ops/s,728 ops/s,521 ops/s
2026-06-04 15:50:00,744 ops/s,495 ops/s,742 ops/s,490 ops/s,719 ops/s,496 ops/s,736 ops/s,491 ops/s,747 ops/s,496 ops/s,729 ops/s,509 ops/s
2026-06-04 15:50:30,731 ops/s,488 ops/s,742 ops/s,476 ops/s,714 ops/s,467 ops/s,734 ops/s,490 ops/s,760 ops/s,490 ops/s,719 ops/s,488 ops/s
2026-06-04 15:51:00,754 ops/s,486 ops/s,743 ops/s,478 ops/s,726 ops/s,473 ops/s,748 ops/s,477 ops/s,757 ops/s,478 ops/s,731 ops/s,470 ops/s
2026-06-04 15:51:30,753 ops/s,488 ops/s,740 ops/s,466 ops/s,749 ops/s,456 ops/s,737 ops/s,478 ops/s,732 ops/s,457 ops/s,733 ops/s,499 ops/s
2026-06-04 15:52:00,757 ops/s,486 ops/s,717 ops/s,496 ops/s,759 ops/s,474 ops/s,758 ops/s,451 ops/s,715 ops/s,432 ops/s,748 ops/s,512 ops/s
2026-06-04 15:52:30,737 ops/s,467 ops/s,721 ops/s,489 ops/s,755 ops/s,460 ops/s,746 ops/s,461 ops/s,717 ops/s,432 ops/s,735 ops/s,515 ops/s
2026-06-04 15:53:00,715 ops/s,462 ops/s,721 ops/s,484 ops/s,743 ops/s,474 ops/s,734 ops/s,443 ops/s,710 ops/s,449 ops/s,718 ops/s,494 ops/s
2026-06-04 15:53:30,713 ops/s,468 ops/s,728 ops/s,460 ops/s,746 ops/s,502 ops/s,727 ops/s,481 ops/s,722 ops/s,458 ops/s,698 ops/s,472 ops/s
2026-06-04 15:54:00,706 ops/s,494 ops/s,736 ops/s,459 ops/s,741 ops/s,520 ops/s,727 ops/s,490 ops/s,722 ops/s,465 ops/s,706 ops/s,465 ops/s
2026-06-04 15:54:30,722 ops/s,488 ops/s,733 ops/s,460 ops/s,722 ops/s,519 ops/s,732 ops/s,482 ops/s,738 ops/s,466 ops/s,721 ops/s,458 ops/s
2026-06-04 15:55:00,721 ops/s,484 ops/s,743 ops/s,489 ops/s,721 ops/s,517 ops/s,727 ops/s,476 ops/s,740 ops/s,472 ops/s,717 ops/s,468 ops/s
2026-06-04 15:55:30,729 ops/s,489 ops/s,726 ops/s,502 ops/s,718 ops/s,505 ops/s,730 ops/s,479 ops/s,726 ops/s,474 ops/s,736 ops/s,461 ops/s
2026-06-04 15:56:00,712 ops/s,495 ops/s,721 ops/s,519 ops/s,742 ops/s,500 ops/s,738 ops/s,497 ops/s,717 ops/s,480 ops/s,728 ops/s,471 ops/s
2026-06-04 15:56:30,725 ops/s,505 ops/s,703 ops/s,504 ops/s,738 ops/s,482 ops/s,726 ops/s,510 ops/s,716 ops/s,471 ops/s,743 ops/s,467 ops/s
2026-06-04 15:57:00,715 ops/s,501 ops/s,717 ops/s,498 ops/s,737 ops/s,476 ops/s,725 ops/s,501 ops/s,720 ops/s,483 ops/s,713 ops/s,462 ops/s
2026-06-04 15:57:30,717 ops/s,492 ops/s,710 ops/s,459 ops/s,720 ops/s,456 ops/s,712 ops/s,505 ops/s,719 ops/s,487 ops/s,708 ops/s,459 ops/s
2026-06-04 15:58:00,703 ops/s,479 ops/s,739 ops/s,456 ops/s,731 ops/s,455 ops/s,721 ops/s,471 ops/s,722 ops/s,485 ops/s,688 ops/s,474 ops/s
2026-06-04 15:58:30,712 ops/s,475 ops/s,738 ops/s,457 ops/s,738 ops/s,472 ops/s,738 ops/s,451 ops/s,734 ops/s,469 ops/s,701 ops/s,476 ops/s
2026-06-04 15:59:00,701 ops/s,470 ops/s,727 ops/s,497 ops/s,735 ops/s,495 ops/s,734 ops/s,473 ops/s,715 ops/s,455 ops/s,683 ops/s,481 ops/s
2026-06-04 15:59:30,705 ops/s,472 ops/s,700 ops/s,490 ops/s,705 ops/s,509 ops/s,735 ops/s,480 ops/s,708 ops/s,462 ops/s,713 ops/s,467 ops/s
2026-06-04 16:00:00,716 ops/s,471 ops/s,714 ops/s,515 ops/s,719 ops/s,505 ops/s,738 ops/s,492 ops/s,718 ops/s,472 ops/s,731 ops/s,493 ops/s
2026-06-04 16:00:30,732 ops/s,465 ops/s,728 ops/s,489 ops/s,731 ops/s,491 ops/s,748 ops/s,478 ops/s,748 ops/s,467 ops/s,770 ops/s,477 ops/s
2026-06-04 16:01:00,746 ops/s,479 ops/s,727 ops/s,498 ops/s,740 ops/s,471 ops/s,749 ops/s,494 ops/s,745 ops/s,470 ops/s,754 ops/s,492 ops/s
2026-06-04 16:01:30,736 ops/s,474 ops/s,715 ops/s,494 ops/s,721 ops/s,458 ops/s,727 ops/s,496 ops/s,734 ops/s,455 ops/s,741 ops/s,469 ops/s
2026-06-04 16:02:00,737 ops/s,476 ops/s,716 ops/s,490 ops/s,715 ops/s,471 ops/s,734 ops/s,486 ops/s,725 ops/s,458 ops/s,725 ops/s,475 ops/s
2026-06-04 16:02:30,722 ops/s,468 ops/s,719 ops/s,487 ops/s,728 ops/s,480 ops/s,734 ops/s,493 ops/s,731 ops/s,483 ops/s,729 ops/s,466 ops/s
2026-06-04 16:03:00,738 ops/s,453 ops/s,748 ops/s,459 ops/s,737 ops/s,501 ops/s,763 ops/s,483 ops/s,739 ops/s,504 ops/s,750 ops/s,476 ops/s
2026-06-04 16:03:30,759 ops/s,461 ops/s,745 ops/s,475 ops/s,732 ops/s,508 ops/s,762 ops/s,503 ops/s,725 ops/s,487 ops/s,742 ops/s,484 ops/s
2026-06-04 16:04:00,758 ops/s,460 ops/s,749 ops/s,475 ops/s,731 ops/s,509 ops/s,759 ops/s,484 ops/s,723 ops/s,457 ops/s,743 ops/s,470 ops/s
2026-06-04 16:04:30,750 ops/s,473 ops/s,707 ops/s,470 ops/s,719 ops/s,488 ops/s,735 ops/s,507 ops/s,708 ops/s,467 ops/s,722 ops/s,474 ops/s
2026-06-04 16:05:00,746 ops/s,486 ops/s,732 ops/s,469 ops/s,755 ops/s,485 ops/s,731 ops/s,489 ops/s,752 ops/s,512 ops/s,750 ops/s,465 ops/s
2026-06-04 16:05:30,749 ops/s,472 ops/s,742 ops/s,464 ops/s,750 ops/s,498 ops/s,731 ops/s,481 ops/s,750 ops/s,515 ops/s,759 ops/s,466 ops/s
2026-06-04 16:06:00,765 ops/s,474 ops/s,766 ops/s,470 ops/s,755 ops/s,540 ops/s,739 ops/s,479 ops/s,765 ops/s,469 ops/s,775 ops/s,457 ops/s
2026-06-04 16:06:30,758 ops/s,445 ops/s,727 ops/s,457 ops/s,726 ops/s,536 ops/s,734 ops/s,478 ops/s,733 ops/s,469 ops/s,742 ops/s,456 ops/s
2026-06-04 16:07:00,747 ops/s,474 ops/s,708 ops/s,475 ops/s,722 ops/s,523 ops/s,715 ops/s,481 ops/s,731 ops/s,468 ops/s,717 ops/s,474 ops/s
2026-06-04 16:07:30,727 ops/s,465 ops/s,699 ops/s,482 ops/s,735 ops/s,487 ops/s,699 ops/s,488 ops/s,734 ops/s,485 ops/s,694 ops/s,462 ops/s
2026-06-04 16:08:00,714 ops/s,479 ops/s,711 ops/s,484 ops/s,737 ops/s,481 ops/s,688 ops/s,474 ops/s,722 ops/s,464 ops/s,711 ops/s,454 ops/s
2026-06-04 16:08:30,722 ops/s,446 ops/s,728 ops/s,461 ops/s,750 ops/s,469 ops/s,698 ops/s,474 ops/s,734 ops/s,460 ops/s,726 ops/s,425 ops/s
2026-06-04 16:09:00,723 ops/s,454 ops/s,722 ops/s,464 ops/s,731 ops/s,460 ops/s,695 ops/s,469 ops/s,720 ops/s,483 ops/s,727 ops/s,436 ops/s
2026-06-04 16:09:30,713 ops/s,459 ops/s,724 ops/s,474 ops/s,713 ops/s,443 ops/s,709 ops/s,470 ops/s,735 ops/s,480 ops/s,731 ops/s,442 ops/s
2026-06-04 16:10:00,725 ops/s,489 ops/s,742 ops/s,500 ops/s,711 ops/s,469 ops/s,709 ops/s,469 ops/s,737 ops/s,474 ops/s,742 ops/s,484 ops/s
2026-06-04 16:10:30,725 ops/s,490 ops/s,756 ops/s,491 ops/s,708 ops/s,468 ops/s,727 ops/s,468 ops/s,721 ops/s,457 ops/s,751 ops/s,491 ops/s
2026-06-04 16:11:00,736 ops/s,477 ops/s,763 ops/s,490 ops/s,713 ops/s,466 ops/s,732 ops/s,476 ops/s,713 ops/s,450 ops/s,740 ops/s,500 ops/s
2026-06-04 16:11:30,731 ops/s,474 ops/s,754 ops/s,469 ops/s,707 ops/s,439 ops/s,727 ops/s,487 ops/s,690 ops/s,461 ops/s,725 ops/s,493 ops/s
2026-06-04 16:12:00,711 ops/s,488 ops/s,731 ops/s,485 ops/s,708 ops/s,457 ops/s,728 ops/s,500 ops/s,722 ops/s,458 ops/s,711 ops/s,500 ops/s
2026-06-04 16:12:30,706 ops/s,535 ops/s,720 ops/s,495 ops/s,703 ops/s,474 ops/s,724 ops/s,499 ops/s,730 ops/s,463 ops/s,694 ops/s,499 ops/s
2026-06-04 16:13:00,706 ops/s,518 ops/s,708 ops/s,501 ops/s,715 ops/s,468 ops/s,739 ops/s,486 ops/s,739 ops/s,455 ops/s,693 ops/s,484 ops/s
2026-06-04 16:13:30,722 ops/s,509 ops/s,724 ops/s,503 ops/s,731 ops/s,449 ops/s,721 ops/s,457 ops/s,722 ops/s,471 ops/s,707 ops/s,453 ops/s
